object_id,frame,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,scaling_x,scaling_y,scaling_z,spawn,time
0,1,-11,4,0,0,0,0,0,0,0,1,1
0,1,-10,3,0,0,0,0,0,0,0,0,2
0,1,-10,3,0,0,0,0,0,0,0,0,3
0,1,-10,3,0,0,0,0,0,0,0,0,4
0,1,-10,3,0,0,0,0,0,0,0,0,5
0,1,-9,2,0,0,0,0,0,0,0,0,6
0,2,-7,0,0,0,0,0,0,0,0,0,7
0,2,-5,-2,0,0,0,0,0,0,0,0,8
0,3,-4,-3.5,0,0,0,0,0,0,0,0,9
0,4,-4,-4.5,0,0,0,0,0,0,0,0,10
0,4,-4,-4.5,0,0,0,0,0,0,0,0,11
0,5,-3,-2.5,0,0,0,0,0,0,0,0,12
0,3,-2,0,0,0,0,0,0,0,0,0,13
0,2,-1,1,0,0,0,0,0,0,0,0,14
0,1,0,1.5,0,0,0,0,0,0,0,0,15
0,1,1,2,0,0,0,0,0,0,0,0,16
0,1,2,1.5,0,0,0,0,0,0,0,0,17
0,1,4,1,0,0,0,0,0,0,0,0,18
0,2,5,-2,0,0,0,0,0,0,0,0,19
0,3,6,-3.5,0,0,0,0,0,0,0,0,20
0,4,7,-4.5,0,0,0,0,0,0,0,0,21
0,4,7,-4.5,0,0,0,0,0,0,0,0,22
0,5,8,-2.5,0,0,0,0,0,0,0,0,23
0,3,9.5,-1.5,0,0,0,0,0,0,0,0,24
0,2,11,-1,0,0,0,0,0,0,0,0,25
0,1,12.5,0.5,0,0,0,0,0,0,0,0,26
0,1,13.5,0.5,0,0,0,0,0,0,0,0,27
0,1,15,0.5,0,0,0,0,0,0,0,2,28




